Code;Occurrences;Famille;Signe;Palier ou detail;Nom FR;Nom EN;Rarete;Rang;Origine;Candidats
ElementBoost_Thunder_1_PAL;13;Attaque élémentaire;;Thunder;Condensateur;Capacitor;commun;1;bijection élémentaire;
Test_PalEgg_HatchingSpeed_Up;13;;;;;;;;;
SwimSpeed_up_2;13;Nage;+;palier 2;Coursier Marin;Ace Swimmer;dore;3;paldb;
Noukin;13;;;;Impulsif;Musclehead;dore;2;paldb;
MoveSpeed_up_2;12;Déplacement;+;palier 2;Coursier;Runner;dore;3;paldb;
PAL_FullStomach_Down_1;12;Satiété;−;palier 1;Glouton;Glutton;negatif;-1;elimination;
PAL_CorporateSlave;12;;;;Soumis;Work Slave;commun;1;paldb;
PAL_conceited;11;;;;Vaniteux;Conceited;commun;1;nom identique;
ElementResist_Earth_1_PAL;10;Résistance élémentaire;;Earth;Parasismique;Earthquake Resistant;commun;1;bijection élémentaire;
Deffence_down2;10;Défense;−;palier 2;Os fragiles;Brittle;negatif;-3;elimination;
PAL_oraora;10;;;;;;;;;
SalePrice_Up_2;10;Prix de vente;+;palier 2;Belle Fourrure;Fine Furs;commun;1;elimination;
TrainerMining_up1;10;Bonus au joueur;;Mining;Chef d'Extraction;Mine Foreman;dore;3;nom identique;
SalePrice_Up_1;10;Prix de vente;+;palier 1;Noble;Noble;dore;3;paldb;
ElementBoost_Leaf_1_PAL;9;Attaque élémentaire;;Leaf;Fragrance Boisée;Fragrant Foliage;commun;1;bijection élémentaire;
ElementBoost_Normal_1_PAL;9;Attaque élémentaire;;Normal;Esprit Zen;Spirit of Zen;commun;1;bijection élémentaire;
Alien;9;;;;;;;;;
MiniNushi;9;;;;;;;;;
Rare;9;;;;Chanceux;Lucky;arcenciel;4;paldb;
SalePrice_Down_1;8;Prix de vente;−;palier 1;Miteux;Shabby;negatif;-1;elimination;
ElementBoost_Dragon_1_PAL;7;Attaque élémentaire;;Dragon;Sang de Dragon;Blood of the Dragon;commun;1;bijection élémentaire;
PAL_Sanity_Down_1;7;Moral (SAN);−;palier 1;Optimiste;Positive Thinker;commun;1;elimination;
SelfDeathAddItemDrop_up_2;6;Butin à la mort;+;palier 2;Généreux;Service-Minded;dore;3;elimination;
WorkSuitabilityAddRank_MonsterFarm_1;6;Aptitude de travail;;MonsterFarm;Apprenti Éleveur;Farmhand;dore;3;nom identique;
ReloadSpeedUp_Passive;5;;;;Instructeur de Tir;Reload Master;dore;3;paldb;
PlayerSP_DecreaseRate_Passive;5;;;;Guide de l'effort;Wellness Watcher;dore;3;paldb;
NightOwl;4;;;;Oiseau de Nuit;Night Owl;negatif;-1;etabli;
AutoHPRegeneRate_Passive;3;;;;Ange Médecin;Healing Coach;dore;3;paldb;
PAL_FullStomach_Down_3;3;Satiété;−;palier 3;Maîtrise de la Faim;Mastery of Fasting;arcenciel;4;paldb;
Deffence_up3;3;Défense;+;palier 3;Corps Adamantin;Diamond Body;arcenciel;4;paldb;
CraftSpeed_up3;3;Vitesse de travail;+;palier 3;Maîtrise Exceptionnelle;Remarkable Craftsmanship;arcenciel;4;paldb;
MoveSpeed_up_3;2;Déplacement;+;palier 3;Sprinteur;Swift;arcenciel;4;paldb;
Vampire;2;;;;Vampire;Vampiric;arcenciel;4;paldb;
SelfDeathAddItemDrop_up_3;1;Butin à la mort;+;palier 3;Grand Prince;Lavish Hospitality;arcenciel;4;elimination;
Stamina_Up_3;1;Endurance;+;palier 3;Vigueur Éternelle;Eternal Engine;arcenciel;4;paldb;
Nushi;1;;;;;;;;;
MutationPal_Mutant;1;;;;Anomalie;Idiosyncratic;arcenciel;4;paldb;
PAL_ALLAttack_up3;1;Attaque;+;palier 3;Colère Divine;Demon God;arcenciel;4;paldb;
MutationPal_Immortal;1;;;;Immortel;Immortality;arcenciel;4;paldb;
SwimSpeed_up_3;1;Nage;+;palier 3;Roi des Vagues;King of the Waves;arcenciel;4;paldb;
